id,view,game,incentive,order,time,q0,q1,q2,q3,q4,q5,first,second,third,,,,
ZHjrNgI6k0Y,2,text-adventure,levels,,7304643,3,3,1,2,2,3,FALSE,TRUE,FALSE,,,,
rZ-y1uM4XWk,1,text-adventure,leader,,5620485,4,2,2,4,4,4,FALSE,TRUE,FALSE,,,,
wnRS6iGlbmg,1,word-scramble,badges,,3930758,3,4,1,4,3,4,TRUE,FALSE,FALSE,,none,,
wFGpiWs5i4z,1,text-adventure,badges,,1343719,3,2,1,3,2,5,FALSE,TRUE,FALSE,,text-adventure,179179.3333,
QMKprPJyA-Y,14,text-adventure,badges,,1308734,3,3,2,4,3,4,FALSE,TRUE,FALSE,,word-scramble,115843.3333,
K8w9xJ6FBps,1,text-adventure,levels,,1131462,4,3,2,4,4,5,FALSE,FALSE,TRUE,,word-bounce,92270.5,
"xtT,pKLBUaE",1,word-scramble,levels,,1079119,1,4,1,1,1,5,TRUE,FALSE,FALSE,,,,
"wxl,UZXczlO",1,word-scramble,badges,,684190,5,3,2,5,5,5,TRUE,FALSE,FALSE,,badges,,ratio (w/badges)/(w/none)
MOpOgGZFdnC,1,text-adventure,badges,,636323,3,1,1,2,2,3,TRUE,FALSE,FALSE,,text-adventure,331958.75,1.852662044
7zpFpwVH5is,1,text-adventure,levels,,401518,3,3,1,2,2,4,TRUE,FALSE,FALSE,,word-scramble,422930.5,3.650883377
MOpOgGZFdnC,1,word-scramble,leader,,394730,1,4,1,1,1,3,FALSE,FALSE,TRUE,,word-bounce,62213.06667,0.674246554
wnRS6iGlbmg,1,text-adventure,levels,,367249,2,2,1,0,2,2,FALSE,TRUE,FALSE,,,,
dsCmfxLubJ3,1,text-adventure,badges,,348639,4,2,2,4,3,3,TRUE,FALSE,FALSE,,levels,,ratio (w/levels)/(w/none)
VawiSqotBV3,1,text-adventure,badges,,348464,5,5,1,4,4,5,FALSE,TRUE,FALSE,,text-adventure,531190.25,2.964573202
wFGpiWs5i4z,1,word-scramble,levels,,313483,2,4,2,3,2,3,TRUE,FALSE,FALSE,,word-scramble,176880.8,1.526896671
VawiSqotBV3,1,word-scramble,leader,,298902,5,5,1,4,4,5,TRUE,FALSE,FALSE,,word-bounce,70183.66667,0.760629526
URGAQrp2EDi,1,text-adventure,none,,262850,4,2,4,4,4,0,FALSE,TRUE,FALSE,,,,
IDIbS8gYSom,1,word-scramble,none,,262103,2,3,1,2,2,0,TRUE,FALSE,FALSE,,leader,,ratio (w/leader)/(w/none)
61tTSlZLwEj,1,text-adventure,badges,,251613,0,0,0,0,0,0,TRUE,FALSE,FALSE,,text-adventure,908196,5.068642589
QLqmSnvNr8M,1,text-adventure,leader,,241955,3,3,1,2,1,5,FALSE,TRUE,FALSE,,word-scramble,123270.8,1.064116479
wy1KWrzMPpJ,1,text-adventure,levels,,239525,2,3,1,1,2,2,FALSE,TRUE,FALSE,,word-bounce,83768.27778,0.907855466
nFstqEW7aX9,1,text-adventure,badges,,231851,3,3,2,4,2,4,FALSE,FALSE,TRUE,,,,
zNbYaliWMnq,3,word-scramble,leader,,220929,2,4,3,3,4,2,TRUE,FALSE,FALSE,,,,
I-pqVni7Q9z,4,word-scramble,levels,,219086,2,5,2,3,2,3,TRUE,FALSE,FALSE,,,,
4lPmuf8-eqM,1,word-scramble,badges,,218992,3,4,2,3,3,3,FALSE,TRUE,FALSE,,,,
zNbYaliWMnq,3,text-adventure,levels,,216310,3,3,1,2,2,4,FALSE,TRUE,FALSE,,,,
"zVtbwJ16Xo,",1,text-adventure,levels,,198008,2,2,2,2,2,2,FALSE,TRUE,FALSE,,,,
U1Di8Ma8FpP,1,word-scramble,leader,,195234,4,4,3,4,4,3,TRUE,FALSE,FALSE,,,,
z6uF89aULi-,1,text-adventure,leader,,186829,1,3,1,1,1,1,FALSE,TRUE,FALSE,,,,
UG218h2CWi2,1,word-scramble,levels,,181920,4,4,2,3,2,5,TRUE,FALSE,FALSE,,,,
QT2unyj1KR8,1,word-scramble,leader,,180582,4,2,2,4,4,5,TRUE,FALSE,FALSE,,,,
I-pqVni7Q9z,4,text-adventure,badges,,176282,3,2,3,4,3,5,FALSE,TRUE,FALSE
QMKprPJyA-Y,14,word-bounce,leader,,173839,4,3,3,4,3,3,FALSE,FALSE,TRUE
K8w9xJ6FBps,1,word-scramble,leader,,171704,4,4,4,4,4,3,FALSE,TRUE,FALSE
wFGpiWs5i4z,1,word-bounce,leader,,170502,2,4,1,1,1,5,FALSE,FALSE,TRUE
uNbDr2H0IaI,1,text-adventure,badges,,169849,3,2,2,3,3,4,FALSE,TRUE,FALSE
IDIbS8gYSom,1,text-adventure,none,,166163,3,2,1,3,2,0,FALSE,TRUE,FALSE
z6uF89aULi-,1,word-scramble,levels,,156055,2,3,1,1,1,3,TRUE,FALSE,FALSE
wnRS6iGlbmg,1,word-bounce,leader,,155717,4,3,1,4,4,2,FALSE,FALSE,TRUE
uNbDr2H0IaI,1,word-scramble,levels,,155679,2,1,2,2,2,3,TRUE,FALSE,FALSE
YbObEHtlW0B,1,word-bounce,leader,,145441,2,3,2,3,3,3,FALSE,FALSE,TRUE
MOpOgGZFdnC,1,word-bounce,levels,,145326,3,1,1,0,3,1,FALSE,TRUE,FALSE
U1Di8Ma8FpP,1,text-adventure,levels,,138763,1,3,3,3,2,3,FALSE,TRUE,FALSE
"xtT,pKLBUaE",1,word-bounce,badges,,137118,5,3,1,5,1,5,FALSE,FALSE,TRUE
YbObEHtlW0B,1,word-scramble,levels,,125665,2,2,2,2,2,3,TRUE,FALSE,FALSE
VawiSqotBV3,1,word-bounce,levels,,121518,5,3,2,4,4,4,FALSE,FALSE,TRUE
eFBTsrZrSlk,2,word-bounce,leader,,120603,3,2,2,3,2,2,FALSE,FALSE,TRUE
5-6FntHkfx2,1,text-adventure,levels,,118486,0,3,2,0,2,3,TRUE,FALSE,FALSE
ca-nid5VINQ,1,text-adventure,badges,,117113,1,4,1,1,1,5,TRUE,FALSE,FALSE
UG218h2CWi2,1,text-adventure,leader,,117048,1,1,2,5,1,1,FALSE,TRUE,FALSE
YbObEHtlW0B,1,text-adventure,badges,,114059,4,2,2,3,3,4,FALSE,TRUE,FALSE
IRgor3BDPiV,1,text-adventure,levels,,112737,2,3,1,0,2,3,FALSE,TRUE,FALSE
uNbDr2H0IaI,1,word-bounce,leader,,111814,3,3,2,2,2,3,FALSE,FALSE,TRUE
QT2unyj1KR8,1,text-adventure,badges,,110405,1,5,1,1,1,4,FALSE,TRUE,FALSE
QT2unyj1KR8,1,word-bounce,levels,,108782,3,3,1,3,3,4,FALSE,FALSE,TRUE
fTf-xw8Cc6M,1,text-adventure,none,,108525,1,1,2,1,1,0,TRUE,FALSE,FALSE
K8w9xJ6FBps,1,word-bounce,badges,,107723,5,2,4,5,4,5,TRUE,FALSE,FALSE
nFstqEW7aX9,1,word-scramble,levels,,105221,3,4,2,2,2,2,FALSE,TRUE,FALSE
IRgor3BDPiV,1,word-bounce,badges,,101899,2,3,1,0,1,3,FALSE,FALSE,TRUE
"wxl,UZXczlO",1,word-bounce,leader,,100686,2,3,1,2,2,2,FALSE,FALSE,TRUE
"gN2mKEWJJ,5",1,word-scramble,leader,,98156,3,4,1,3,3,5,FALSE,TRUE,FALSE
4lPmuf8-eqM,1,text-adventure,leader,,97776,4,3,3,3,4,4,TRUE,FALSE,FALSE
URGAQrp2EDi,1,word-bounce,none,,96567,4,3,4,4,3,0,FALSE,FALSE,TRUE
61tTSlZLwEj,1,word-bounce,levels,,91209,4,3,2,3,3,2,FALSE,FALSE,TRUE
nFstqEW7aX9,1,word-bounce,leader,,91130,4,2,2,3,2,5,TRUE,FALSE,FALSE
dsCmfxLubJ3,1,word-bounce,levels,,90876,4,3,3,4,2,5,FALSE,FALSE,TRUE
dsCmfxLubJ3,1,word-scramble,leader,,90876,4,3,3,4,2,5,FALSE,TRUE,FALSE
2D8r1kVOB1O,1,text-adventure,levels,,90306,4,2,3,4,4,3,#N/A,#N/A,#N/A
z6uF89aULi-,1,word-bounce,badges,,90212,1,3,1,1,1,3,FALSE,FALSE,TRUE
